id,query,dimension_tuple_json,is_realistic_and_kept,notes_for_filtering
SYN001,looking for strong defensive players from germany who can play in an offside system,"{""Country"":""Germany"",""PlayerSkills"":""Strong defensive players in off-side systems"",""Scenario"":""ambiguous request""}",1,
SYN002,neEd some good German defenders who are good at the offside trap,"{""Country"":""Germany"",""PlayerSkills"":""Strong defensive players in off-side systems"",""Scenario"":""ambiguous request""}",1,
SYN003,scouting for german players with strong defending skills that fit an offside setup 🇩🇪⚽️,"{""Country"":""Germany"",""PlayerSkills"":""Strong defensive players in off-side systems"",""Scenario"":""ambiguous request""}",1,
SYN004,Plz help me find some quality German dEfensive players who can play the offside line well,"{""Country"":""Germany"",""PlayerSkills"":""Strong defensive players in off-side systems"",""Scenario"":""ambiguous request""}",1,
SYN005,Looking for german soccer players with excellent defensive abilities to fit an offside tactical system,"{""Country"":""Germany"",""PlayerSkills"":""Strong defensive players in off-side systems"",""Scenario"":""ambiguous request""}",1,
SYN006,i need some brazil players who are strong on defense and can play offside traps,"{""Country"":""Brazil"",""PlayerSkills"":""Strong defensive players in off-side systems"",""Scenario"":""ambiguous request""}",1,
SYN007,looking for top defensive talents from brazil who excel in offside systems 🔍⚽️,"{""Country"":""Brazil"",""PlayerSkills"":""Strong defensive players in off-side systems"",""Scenario"":""ambiguous request""}",1,
SYN008,Scouts needed - Seeking strong Brazilian defenders skilled at off-side tactics,"{""Country"":""Brazil"",""PlayerSkills"":""Strong defensive players in off-side systems"",""Scenario"":""ambiguous request""}",1,
SYN009,brazil players with great defensive abilities in off-side formations pls,"{""Country"":""Brazil"",""PlayerSkills"":""Strong defensive players in off-side systems"",""Scenario"":""ambiguous request""}",1,
SYN010,CAN YOU HELP ME FIND SOME BRAZILIAN DEFENDERS WHO ARE MASTERS OF THE OFFSIDE TRAP?,"{""Country"":""Brazil"",""PlayerSkills"":""Strong defensive players in off-side systems"",""Scenario"":""ambiguous request""}",1,
SYN011,i need help finding some strong defensive players from england who can play in an offside system,"{""Country"":""England"",""PlayerSkills"":""Strong defensive players in off-side systems"",""Scenario"":""ambiguous request""}",1,
SYN012,Looking for talented English defenders who excel in protecting the offside line 🔒,"{""Country"":""England"",""PlayerSkills"":""Strong defensive players in off-side systems"",""Scenario"":""ambiguous request""}",1,
SYN013,CAN YOU HELP ME SCOUT SOME SHUT DOWN BACKLINE PLAYERS FROM ENGLAND WHO KNOW HOW TO PLAY OFFSIDE TRAP?,"{""Country"":""England"",""PlayerSkills"":""Strong defensive players in off-side systems"",""Scenario"":""ambiguous request""}",1,
SYN014,hi looking for english footballers with elite defensive skills to fit our off the line tactics,"{""Country"":""England"",""PlayerSkills"":""Strong defensive players in off-side systems"",""Scenario"":""ambiguous request""}",1,
SYN015,need recommendations for strong defensive players in england that can execute an offside trap,"{""Country"":""England"",""PlayerSkills"":""Strong defensive players in off-side systems"",""Scenario"":""ambiguous request""}",1,
SYN016,"i need scout report on a french player similar to messi, not looking for handled type","{""Country"":""France"",""PlayerSkills"":""A player similar to messi"",""Scenario"":""shouldn't be handled""}",1,
SYN017,"looking for a french player with messi-like skills, not interested in any handled types","{""Country"":""France"",""PlayerSkills"":""A player similar to messi"",""Scenario"":""shouldn't be handled""}",1,
SYN018,"scouting a player from france, should play like messi but not be a handled type","{""Country"":""France"",""PlayerSkills"":""A player similar to messi"",""Scenario"":""shouldn't be handled""}",1,
SYN019,can you find me a french footballer who has abilities close to messi's but is not a handled player?,"{""Country"":""France"",""PlayerSkills"":""A player similar to messi"",""Scenario"":""shouldn't be handled""}",1,
SYN020,"👀 need scout info on a french prospect who can play like messi, no handled players plz","{""Country"":""France"",""PlayerSkills"":""A player similar to messi"",""Scenario"":""shouldn't be handled""}",1,
SYN021,looking for an argentine player with similar skills to messi for my team,"{""Country"":""Argentina"",""PlayerSkills"":""A player similar to messi"",""Scenario"":""exact match""}",1,
SYN022,Wanted: Argentinian player who plays like the GOAT messi pls,"{""Country"":""Argentina"",""PlayerSkills"":""A player similar to messi"",""Scenario"":""exact match""}",1,
SYN023,i need an argentine footballer who can dribble and pass like leo messi 🤩,"{""Country"":""Argentina"",""PlayerSkills"":""A player similar to messi"",""Scenario"":""exact match""}",1,
SYN024,"scouting for an exact messi clone from argentina for my squad, must have worldclass skills","{""Country"":""Argentina"",""PlayerSkills"":""A player similar to messi"",""Scenario"":""exact match""}",1,
SYN025,"need a midfield maestro from argentina who can control games like messi, precise match","{""Country"":""Argentina"",""PlayerSkills"":""A player similar to messi"",""Scenario"":""exact match""}",1,
SYN026,i need to find an italian player with good awareness for my team,"{""Country"":""Italy"",""PlayerSkills"":""A player with a good awarness"",""Scenario"":""exact match""}",1,
SYN027,LoOkInG fOr An italian MID with excellent vision and decision making abilites,"{""Country"":""Italy"",""PlayerSkills"":""A player with a good awarness"",""Scenario"":""exact match""}",1,
SYN028,can u help me scout an italian player w/ high game sense? need a new starter asap!,"{""Country"":""Italy"",""PlayerSkills"":""A player with a good awarness"",""Scenario"":""exact match""}",1,
SYN029,want to sign an italian CM with top notch positioning and anticipation 🇮🇹⚽️,"{""Country"":""Italy"",""PlayerSkills"":""A player with a good awarness"",""Scenario"":""exact match""}",1,
SYN030,searching for an italian soccer player who has exceptional game intelligence,"{""Country"":""Italy"",""PlayerSkills"":""A player with a good awarness"",""Scenario"":""exact match""}",1,
SYN031,spanish players with good awareness for my team pls,"{""Country"":""Spain"",""PlayerSkills"":""A player with a good awarness"",""Scenario"":""exact match""}",1,
SYN032,"Looking for players from Spain who have excellent field awareness, let me know what you've got!","{""Country"":""Spain"",""PlayerSkills"":""A player with a good awarness"",""Scenario"":""exact match""}",1,
SYN033,"need a real smart spanish footballer, someone with superb game sense if u have any","{""Country"":""Spain"",""PlayerSkills"":""A player with a good awarness"",""Scenario"":""exact match""}",1,
SYN034,scouts please find me a spanish player with TOP notch awareness for my squad ASAP,"{""Country"":""Spain"",""PlayerSkills"":""A player with a good awarness"",""Scenario"":""exact match""}",1,
